O*NET-SOC_Code,Title,Element_ID,Element_Name,Skill_Importance,Skill_Level,Skill_Strength,Skill_Strength_Normalized,Skill_Importance_Category,Skill_Level_Category
11-3021.00,Computer and Information Systems Managers,2.A.1.b,Active Listening,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3021.00,Computer and Information Systems Managers,2.A.1.c,Writing,3.75,4.0,15.0,0.5,Medium,Medium
11-3021.00,Computer and Information Systems Managers,2.A.1.d,Speaking,3.88,3.88,15.0544,0.5018133333333333,Medium,Medium
11-3021.00,Computer and Information Systems Managers,2.A.1.e,Mathematics,3.12,3.12,9.7344,0.32448000000000005,Medium,Medium
11-3021.00,Computer and Information Systems Managers,2.A.1.f,Science,1.75,1.38,2.415,0.0805,Low,Low
11-3021.00,Computer and Information Systems Managers,2.A.2.a,Critical Thinking,4.12,4.0,16.48,0.5493333333333333,High,Medium
11-3021.00,Computer and Information Systems Managers,2.A.2.b,Active Learning,3.38,3.88,13.1144,0.4371466666666667,Medium,Medium
11-3021.00,Computer and Information Systems Managers,2.A.2.c,Learning Strategies,3.25,3.5,11.375,0.37916666666666665,Medium,Medium
11-3021.00,Computer and Information Systems Managers,2.A.2.d,Monitoring,3.88,4.38,16.9944,0.56648,Medium,High
11-3031.00,Financial Managers,2.A.1.a,Reading Comprehension,4.0,4.38,17.52,0.584,Medium,High
11-3031.00,Financial Managers,2.A.1.b,Active Listening,4.0,4.38,17.52,0.584,Medium,High
11-3031.00,Financial Managers,2.A.1.c,Writing,3.75,3.62,13.575000000000001,0.4525,Medium,Medium
11-3031.00,Financial Managers,2.A.1.d,Speaking,4.0,4.12,16.48,0.5493333333333333,Medium,High
11-3031.00,Financial Managers,2.A.1.e,Mathematics,3.5,3.62,12.67,0.42233333333333334,Medium,Medium
11-3031.00,Financial Managers,2.A.1.f,Science,1.25,0.25,0.3125,0.010416666666666666,Low,Low
11-3031.00,Financial Managers,2.A.2.a,Critical Thinking,4.0,4.25,17.0,0.5666666666666667,Medium,High
11-3031.00,Financial Managers,2.A.2.b,Active Learning,3.5,4.0,14.0,0.4666666666666667,Medium,Medium
11-3031.00,Financial Managers,2.A.2.c,Learning Strategies,3.0,3.38,10.14,0.338,Medium,Medium
11-3031.00,Financial Managers,2.A.2.d,Monitoring,3.75,4.12,15.450000000000001,0.515,Medium,High
11-3031.01,Treasurers and Controllers,2.A.1.a,Reading Comprehension,4.0,4.38,17.52,0.584,Medium,High
11-3031.01,Treasurers and Controllers,2.A.1.b,Active Listening,4.0,4.25,17.0,0.5666666666666667,Medium,High
11-3031.01,Treasurers and Controllers,2.A.1.c,Writing,3.62,4.12,14.9144,0.4971466666666667,Medium,High
11-3031.01,Treasurers and Controllers,2.A.1.d,Speaking,4.0,4.38,17.52,0.584,Medium,High
11-3031.01,Treasurers and Controllers,2.A.1.e,Mathematics,4.0,4.38,17.52,0.584,Medium,High
11-3031.01,Treasurers and Controllers,2.A.1.f,Science,1.0,0.0,0.0,0.0,Low,Low
11-3031.01,Treasurers and Controllers,2.A.2.a,Critical Thinking,4.0,4.88,19.52,0.6506666666666666,Medium,High
11-3031.01,Treasurers and Controllers,2.A.2.b,Active Learning,3.88,4.38,16.9944,0.56648,Medium,High
11-3031.01,Treasurers and Controllers,2.A.2.c,Learning Strategies,3.0,3.0,9.0,0.3,Medium,Medium
11-3031.01,Treasurers and Controllers,2.A.2.d,Monitoring,3.88,4.62,17.9256,0.5975199999999999,Medium,High
11-3031.03,Investment Fund Managers,2.A.1.a,Reading Comprehension,4.0,4.25,17.0,0.5666666666666667,Medium,High
11-3031.03,Investment Fund Managers,2.A.1.b,Active Listening,4.0,4.12,16.48,0.5493333333333333,Medium,High
11-3031.03,Investment Fund Managers,2.A.1.c,Writing,3.62,3.88,14.0456,0.4681866666666667,Medium,Medium
11-3031.03,Investment Fund Managers,2.A.1.d,Speaking,3.88,4.12,15.9856,0.5328533333333333,Medium,High
11-3031.03,Investment Fund Managers,2.A.1.e,Mathematics,3.38,3.62,12.2356,0.40785333333333335,Medium,Medium
11-3031.03,Investment Fund Managers,2.A.1.f,Science,1.0,0.0,0.0,0.0,Low,Low
11-3031.03,Investment Fund Managers,2.A.2.a,Critical Thinking,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3031.03,Investment Fund Managers,2.A.2.b,Active Learning,3.75,3.88,14.549999999999999,0.485,Medium,Medium
11-3031.03,Investment Fund Managers,2.A.2.c,Learning Strategies,2.88,3.12,8.9856,0.29952,Medium,Medium
11-3031.03,Investment Fund Managers,2.A.2.d,Monitoring,3.5,4.0,14.0,0.4666666666666667,Medium,Medium
11-3051.00,Industrial Production Managers,2.A.1.a,Reading Comprehension,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-3051.00,Industrial Production Managers,2.A.1.b,Active Listening,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-3051.00,Industrial Production Managers,2.A.1.c,Writing,3.38,4.0,13.52,0.45066666666666666,Medium,Medium
11-3051.00,Industrial Production Managers,2.A.1.d,Speaking,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3051.00,Industrial Production Managers,2.A.1.e,Mathematics,3.38,3.75,12.674999999999999,0.4225,Medium,Medium
11-3051.00,Industrial Production Managers,2.A.1.f,Science,1.62,1.12,1.8144000000000002,0.060480000000000006,Low,Low
11-3051.00,Industrial Production Managers,2.A.2.a,Critical Thinking,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3051.00,Industrial Production Managers,2.A.2.b,Active Learning,3.62,4.0,14.48,0.4826666666666667,Medium,Medium
11-3051.00,Industrial Production Managers,2.A.2.c,Learning Strategies,3.75,4.0,15.0,0.5,Medium,Medium
11-3051.00,Industrial Production Managers,2.A.2.d,Monitoring,4.0,4.88,19.52,0.6506666666666666,Medium,High
11-3051.01,Quality Control Systems Managers,2.A.1.a,Reading Comprehension,4.0,4.12,16.48,0.5493333333333333,Medium,High
11-3051.01,Quality Control Systems Managers,2.A.1.b,Active Listening,3.88,4.12,15.9856,0.5328533333333333,Medium,High
11-3051.01,Quality Control Systems Managers,2.A.1.c,Writing,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-3051.01,Quality Control Systems Managers,2.A.1.d,Speaking,3.88,4.12,15.9856,0.5328533333333333,Medium,High
11-3051.01,Quality Control Systems Managers,2.A.1.e,Mathematics,3.12,3.25,10.14,0.338,Medium,Medium
11-3051.01,Quality Control Systems Managers,2.A.1.f,Science,2.25,2.25,5.0625,0.16875,Medium,Medium
11-3051.01,Quality Control Systems Managers,2.A.2.a,Critical Thinking,3.75,4.12,15.450000000000001,0.515,Medium,High
11-3051.01,Quality Control Systems Managers,2.A.2.b,Active Learning,3.62,4.12,14.9144,0.4971466666666667,Medium,High
11-3051.01,Quality Control Systems Managers,2.A.2.c,Learning Strategies,3.12,3.38,10.5456,0.35152,Medium,Medium
11-3051.01,Quality Control Systems Managers,2.A.2.d,Monitoring,3.88,4.5,17.46,0.5820000000000001,Medium,High
11-3051.02,Geothermal Production Managers,2.A.1.a,Reading Comprehension,3.88,4.25,16.49,0.5496666666666666,Medium,High
11-3051.02,Geothermal Production Managers,2.A.1.b,Active Listening,3.62,3.62,13.1044,0.43681333333333333,Medium,Medium
11-3051.02,Geothermal Production Managers,2.A.1.c,Writing,3.62,3.75,13.575000000000001,0.4525,Medium,Medium
11-3051.02,Geothermal Production Managers,2.A.1.d,Speaking,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-3051.02,Geothermal Production Managers,2.A.1.e,Mathematics,3.25,3.75,12.1875,0.40625,Medium,Medium
11-3051.02,Geothermal Production Managers,2.A.1.f,Science,2.38,2.5,5.949999999999999,0.1983333333333333,Medium,Medium
11-3051.02,Geothermal Production Managers,2.A.2.a,Critical Thinking,4.0,3.88,15.52,0.5173333333333333,Medium,Medium
11-3051.02,Geothermal Production Managers,2.A.2.b,Active Learning,3.5,3.25,11.375,0.37916666666666665,Medium,Medium
11-3051.02,Geothermal Production Managers,2.A.2.c,Learning Strategies,3.25,3.38,10.985,0.36616666666666664,Medium,Medium
11-3051.02,Geothermal Production Managers,2.A.2.d,Monitoring,3.88,4.38,16.9944,0.56648,Medium,High
11-3051.03,Biofuels Production Managers,2.A.1.a,Reading Comprehension,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-3051.03,Biofuels Production Managers,2.A.1.b,Active Listening,3.75,3.88,14.549999999999999,0.485,Medium,Medium
11-3051.03,Biofuels Production Managers,2.A.1.c,Writing,3.5,3.5,12.25,0.4083333333333333,Medium,Medium
11-3051.03,Biofuels Production Managers,2.A.1.d,Speaking,3.62,4.0,14.48,0.4826666666666667,Medium,Medium
11-3051.03,Biofuels Production Managers,2.A.1.e,Mathematics,3.0,3.25,9.75,0.325,Medium,Medium
11-3051.03,Biofuels Production Managers,2.A.1.f,Science,3.0,3.5,10.5,0.35,Medium,Medium
11-3051.03,Biofuels Production Managers,2.A.2.a,Critical Thinking,3.88,3.88,15.0544,0.5018133333333333,Medium,Medium
11-3051.03,Biofuels Production Managers,2.A.2.b,Active Learning,3.25,3.62,11.765,0.39216666666666666,Medium,Medium
11-3051.03,Biofuels Production Managers,2.A.2.c,Learning Strategies,3.38,3.5,11.83,0.3943333333333333,Medium,Medium
11-3051.03,Biofuels Production Managers,2.A.2.d,Monitoring,3.75,3.88,14.549999999999999,0.485,Medium,Medium
11-3051.04,Biomass Power Plant Managers,2.A.1.a,Reading Comprehension,3.88,4.25,16.49,0.5496666666666666,Medium,High
11-3051.04,Biomass Power Plant Managers,2.A.1.b,Active Listening,3.88,3.88,15.0544,0.5018133333333333,Medium,Medium
11-3051.04,Biomass Power Plant Managers,2.A.1.c,Writing,3.12,3.75,11.700000000000001,0.39,Medium,Medium
11-3051.04,Biomass Power Plant Managers,2.A.1.d,Speaking,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3051.04,Biomass Power Plant Managers,2.A.1.e,Mathematics,3.0,3.25,9.75,0.325,Medium,Medium
11-3051.04,Biomass Power Plant Managers,2.A.1.f,Science,2.5,2.5,6.25,0.20833333333333334,Medium,Medium
11-3051.04,Biomass Power Plant Managers,2.A.2.a,Critical Thinking,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3051.04,Biomass Power Plant Managers,2.A.2.b,Active Learning,3.12,3.38,10.5456,0.35152,Medium,Medium
11-3051.04,Biomass Power Plant Managers,2.A.2.c,Learning Strategies,3.0,3.12,9.36,0.312,Medium,Medium
11-3051.04,Biomass Power Plant Managers,2.A.2.d,Monitoring,3.88,4.62,17.9256,0.5975199999999999,Medium,High
11-3051.06,Hydroelectric Production Managers,2.A.1.a,Reading Comprehension,3.88,4.12,15.9856,0.5328533333333333,Medium,High
11-3051.06,Hydroelectric Production Managers,2.A.1.b,Active Listening,4.12,4.0,16.48,0.5493333333333333,High,Medium
11-3051.06,Hydroelectric Production Managers,2.A.1.c,Writing,3.5,3.88,13.58,0.45266666666666666,Medium,Medium
11-3051.06,Hydroelectric Production Managers,2.A.1.d,Speaking,4.12,4.12,16.9744,0.5658133333333333,High,High
11-3051.06,Hydroelectric Production Managers,2.A.1.e,Mathematics,3.25,3.5,11.375,0.37916666666666665,Medium,Medium
11-3051.06,Hydroelectric Production Managers,2.A.1.f,Science,3.25,3.25,10.5625,0.35208333333333336,Medium,Medium
11-3051.06,Hydroelectric Production Managers,2.A.2.a,Critical Thinking,3.75,4.0,15.0,0.5,Medium,Medium
11-3051.06,Hydroelectric Production Managers,2.A.2.b,Active Learning,3.62,3.62,13.1044,0.43681333333333333,Medium,Medium
11-3051.06,Hydroelectric Production Managers,2.A.2.c,Learning Strategies,3.62,3.75,13.575000000000001,0.4525,Medium,Medium
11-3051.06,Hydroelectric Production Managers,2.A.2.d,Monitoring,3.88,3.75,14.549999999999999,0.485,Medium,Medium
11-3061.00,Purchasing Managers,2.A.1.a,Reading Comprehension,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-3061.00,Purchasing Managers,2.A.1.b,Active Listening,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3061.00,Purchasing Managers,2.A.1.c,Writing,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-3061.00,Purchasing Managers,2.A.1.d,Speaking,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3061.00,Purchasing Managers,2.A.1.e,Mathematics,3.12,3.12,9.7344,0.32448000000000005,Medium,Medium
11-3061.00,Purchasing Managers,2.A.1.f,Science,1.0,0.0,0.0,0.0,Low,Low
11-3061.00,Purchasing Managers,2.A.2.a,Critical Thinking,3.75,4.0,15.0,0.5,Medium,Medium
11-3061.00,Purchasing Managers,2.A.2.b,Active Learning,3.25,3.75,12.1875,0.40625,Medium,Medium
11-3061.00,Purchasing Managers,2.A.2.c,Learning Strategies,3.0,3.75,11.25,0.375,Medium,Medium
11-3061.00,Purchasing Managers,2.A.2.d,Monitoring,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-3071.00,"Transportation, Storage, and Distribution Managers",2.A.1.a,Reading Comprehension,3.88,3.75,14.549999999999999,0.485,Medium,Medium
11-3071.00,"Transportation, Storage, and Distribution Managers",2.A.1.b,Active Listening,3.88,3.88,15.0544,0.5018133333333333,Medium,Medium
11-3071.00,"Transportation, Storage, and Distribution Managers",2.A.1.c,Writing,3.62,3.62,13.1044,0.43681333333333333,Medium,Medium
11-3071.00,"Transportation, Storage, and Distribution Managers",2.A.1.d,Speaking,3.62,3.75,13.575000000000001,0.4525,Medium,Medium
11-3071.00,"Transportation, Storage, and Distribution Managers",2.A.1.e,Mathematics,2.75,2.88,7.92,0.264,Medium,Medium
11-3071.00,"Transportation, Storage, and Distribution Managers",2.A.1.f,Science,1.0,0.0,0.0,0.0,Low,Low
11-3071.00,"Transportation, Storage, and Distribution Managers",2.A.2.a,Critical Thinking,3.62,3.62,13.1044,0.43681333333333333,Medium,Medium
11-3071.00,"Transportation, Storage, and Distribution Managers",2.A.2.b,Active Learning,3.62,3.62,13.1044,0.43681333333333333,Medium,Medium
11-3071.00,"Transportation, Storage, and Distribution Managers",2.A.2.c,Learning Strategies,3.38,3.25,10.985,0.36616666666666664,Medium,Medium
11-3071.00,"Transportation, Storage, and Distribution Managers",2.A.2.d,Monitoring,3.75,3.75,14.0625,0.46875,Medium,Medium
11-3071.04,Supply Chain Managers,2.A.1.a,Reading Comprehension,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3071.04,Supply Chain Managers,2.A.1.b,Active Listening,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3071.04,Supply Chain Managers,2.A.1.c,Writing,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-3071.04,Supply Chain Managers,2.A.1.d,Speaking,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3071.04,Supply Chain Managers,2.A.1.e,Mathematics,3.0,3.0,9.0,0.3,Medium,Medium
